Restaurantname,Foodname,Price
JB's Roasts and Chops,Ny Strip,10
JB's Roasts and Chops,Bone in Pork Chop,10
JB's Roasts and Chops,Rotisserie Chicken,7
JB's Roasts and Chops,Salmon JBs,12
JB's Roasts and Chops,Yellow Fin Tuna,12
JB's Roasts and Chops,Mahi Mahi,12
JB's Roasts and Chops,Market Catch,10
JB's Roasts and Chops,Garlic Mashed Potatoes,2.5
JB's Roasts and Chops,Roasted Seasonal Vegetables,2.5
JB's Roasts and Chops,Steamed Broccoli,2.5
JB's Roasts and Chops,Beer Battered Onion Rings,2.5
JB's Roasts and Chops,Casesar JBs,5
JB's Roasts and Chops,Spinach and Pear Salad,6
JB's Roasts and Chops,Apple and Fennel Salad,6
JB's Roasts and Chops,Paella Mixta,8
JB's Roasts and Chops,Verduras,7
JB's Roasts and Chops,La Marinera,9
JB's Roasts and Chops,Prime Rib Steak Sandwich,9
JB's Roasts and Chops,Chop House Steak Burger,9
JB's Roasts and Chops,Marinated Crilled Chicken Breast,9
JB's Roasts and Chops,Chocolate Torte,5
JB's Roasts and Chops,Carrot Cake,5
JB's Roasts and Chops,Tiramisu,5
Twinnies,Chicken Pita,5.25
Twinnies,Panini,6.5
Twinnies,Chicken Focaccia,6.75
Twinnies,Peanut Tuna Salad,6.25
Twinnies,Roast Beef,6.75
Twinnies,Veggie Pitta,4.95
Twinnies,Turkey Maffaletta,6.5
Loop Pizza Grill,Loop Burger,7.59
Loop Pizza Grill,Grilled Fish Sandwich,9.99
Loop Pizza Grill,BBQ Bacon Cheddar,9.49
Loop Pizza Grill,Portabello and Bacon,8.59
Loop Pizza Grill,Garden with Chicken,7.99
Loop Pizza Grill,Pesto Chicken Ciabatta,8.99
